,0
0,"b'user' b'#cnn' b'calls' b'#michigan' b'middle' b'school' b""'build"" b'the' b""wall'"" b'chant'"
1,b'no' b'comment!'
2,b'retweet' b'if' b'you'
3,b'user' b'user' b'lumpy' b'says' b'i' b'am' b'a' b'.' b'prove' b'it'
4,"b""it's"" b'unbelievable' b'that' b'in' b'the' b'21st' b'century' b""we'd"" b'need' b'something' b'like' b'this.'"
5,b'user' b'lets' b'fight'
6,"b'\xc3\xb0\xc2\x9f\xc2\x98\xc2\xa9the' b'white' b'establishment' b""can't"" b'have' b'blk' b'folx' b'running' b'around' b'loving' b'themselves' b'and' b'promoting' b'our'"
7,"b'user' b'hey,' b'white' b'people:' b'you' b'can' b'call' b'people' b""'white'"" b'by'"
8,b'how' b'the' b'#altright' b'uses' b'&amp;' b'insecurity' b'to' b'lure' b'men'
9,"b'user' b""i'm"" b'not' b'interested' b'in' b'a' b'#linguistics' b'that' b""doesn't"" b'address' b'#race' b'&amp;' b'.' b'racism' b'is' b'about' b'#power.' b'#raciolinguistics'"
10,b'user' b'why' b'not' b'user' b'mocked' b'obama' b'for' b'being' b'black.' b'user' b'user' b'user'
11,"b'#people' b""aren't"" b'protesting' b'#trump' b'because' b'a' b'#republican' b'won-they' b'do' b'so' b'because' b'trump' b'has' b'fuhered'"
12,"b'yes' b""it's"" b'when' b'you' b'call' b'#michelleobama' b'a' b'gorilla' b'because' b'racists' b'have' b'long' b'thought' b'of' b'black' b'people' b'as' b'no'"
13,"b'as' b'the' b'smaller' b'hands' b'show,' b'barry' b'probably' b'lied' b'about' b'being' b'why' b'his' b'#knicks' b'game' b'sucked' b'more' b'than'"
14,b'user' b'user' b'you' b'point' b'one' b'finger' b'user' b'millions' b'are' b'pointed' b'right' b'back' b'at'
15,b'you' b'might' b'be' b'a' b'libtard'
16,b'user' b'take' b'out' b'the' b'#trash' b'america...' b'-' b'i' b'voted' b'against' b'#hate' b'-' b'i' b'voted' b'against' b'-' b'i' b'voted' b'against' b'-' b'i'
